clinical_drug_form	disposition
DRON:00030634	DRON:00000035
DRON:00030665	DRON:00000033
DRON:00030741	DRON:00000034
DRON:00030749	DRON:00000035
DRON:00030791	DRON:00000033
DRON:00030792	DRON:00000035
DRON:00030819	DRON:00000035
DRON:00031112	DRON:00000034
DRON:00031124	DRON:00000035
DRON:00031185	DRON:00000035
DRON:00031200	DRON:00000035
DRON:00031201	DRON:00000035
DRON:00031289	DRON:00000035
DRON:00031290	DRON:00000035
DRON:00031392	DRON:00000034
DRON:00031405	DRON:00000035
DRON:00031406	DRON:00000035
DRON:00031407	DRON:00000035
DRON:00031416	DRON:00000035
DRON:00031423	DRON:00000035
DRON:00031439	DRON:00000035
DRON:00031453	DRON:00000034
DRON:00031508	DRON:00000035
DRON:00031510	DRON:00000035
DRON:00031513	DRON:00000035
DRON:00031514	DRON:00000035
DRON:00031584	DRON:00000034
DRON:00031596	DRON:00000035
DRON:00031606	DRON:00000035
DRON:00031607	DRON:00000035
DRON:00031612	DRON:00000035
DRON:00031627	DRON:00000035
DRON:00031646	DRON:00000034
DRON:00031671	DRON:00000035
DRON:00031678	DRON:00000034
DRON:00031696	DRON:00000035
DRON:00031719	DRON:00000035
DRON:00031720	DRON:00000034
DRON:00031730	DRON:00000035
DRON:00031787	DRON:00000035
DRON:00031801	DRON:00000035
DRON:00031802	DRON:00000035
DRON:00031806	DRON:00000035
DRON:00031807	DRON:00000035
DRON:00031808	DRON:00000035
DRON:00031812	DRON:00000035
DRON:00031833	DRON:00000034
DRON:00031839	DRON:00000033
DRON:00031842	DRON:00000034
DRON:00031843	DRON:00000035
DRON:00031847	DRON:00000035
DRON:00031851	DRON:00000035
DRON:00031852	DRON:00000035
DRON:00031860	DRON:00000035
DRON:00031868	DRON:00000035
DRON:00031869	DRON:00000035
DRON:00031873	DRON:00000035
DRON:00031877	DRON:00000035
DRON:00031890	DRON:00000035
DRON:00031926	DRON:00000035
DRON:00031942	DRON:00000035
DRON:00031958	DRON:00000035
DRON:00031959	DRON:00000035
DRON:00031960	DRON:00000035
DRON:00031961	DRON:00000035
DRON:00031962	DRON:00000035
DRON:00031963	DRON:00000035
DRON:00031964	DRON:00000035
DRON:00031965	DRON:00000035
DRON:00031966	DRON:00000035
DRON:00031967	DRON:00000035
DRON:00031968	DRON:00000035
DRON:00031969	DRON:00000035
DRON:00032057	DRON:00000035
DRON:00032058	DRON:00000035
DRON:00032075	DRON:00000034
DRON:00032080	DRON:00000035
DRON:00032081	DRON:00000035
DRON:00032083	DRON:00000035
DRON:00032098	DRON:00000035
DRON:00032101	DRON:00000035
DRON:00032105	DRON:00000034
DRON:00032110	DRON:00000035
DRON:00032111	DRON:00000035
DRON:00032135	DRON:00000035
DRON:00032146	DRON:00000035
DRON:00032154	DRON:00000035
DRON:00032156	DRON:00000035
DRON:00032160	DRON:00000035
DRON:00032174	DRON:00000035
DRON:00032290	DRON:00000035
DRON:00032303	DRON:00000034
DRON:00032305	DRON:00000035
DRON:00032306	DRON:00000035
DRON:00032331	DRON:00000035
DRON:00032390	DRON:00000035
DRON:00032503	DRON:00000035
DRON:00032504	DRON:00000035
DRON:00032533	DRON:00000033
DRON:00032538	DRON:00000034
DRON:00032552	DRON:00000035
DRON:00032758	DRON:00000035
DRON:00032789	DRON:00000035
DRON:00032817	DRON:00000035
DRON:00032823	DRON:00000034
DRON:00032836	DRON:00000035
DRON:00032837	DRON:00000035
DRON:00032843	DRON:00000035
DRON:00032888	DRON:00000034
DRON:00032896	DRON:00000035
DRON:00032927	DRON:00000034
DRON:00032928	DRON:00000034
DRON:00032928	DRON:00000034
DRON:00033022	DRON:00000035
DRON:00033023	DRON:00000035
DRON:00033045	DRON:00000035
DRON:00033086	DRON:00000035
DRON:00033214	DRON:00000035
DRON:00033296	DRON:00000035
DRON:00033417	DRON:00000035
DRON:00033425	DRON:00000035
DRON:00033441	DRON:00000035
DRON:00033447	DRON:00000034
DRON:00033487	DRON:00000034
DRON:00033496	DRON:00000035
DRON:00033524	DRON:00000035
DRON:00033525	DRON:00000035
DRON:00033535	DRON:00000035
DRON:00033541	DRON:00000035
DRON:00033605	DRON:00000035
DRON:00033683	DRON:00000034
DRON:00033698	DRON:00000035
DRON:00033751	DRON:00000034
DRON:00033891	DRON:00000035
DRON:00033945	DRON:00000035
DRON:00033946	DRON:00000035
DRON:00033958	DRON:00000035
DRON:00033958	DRON:00000035
DRON:00033963	DRON:00000035
DRON:00033967	DRON:00000035
DRON:00033982	DRON:00000035
DRON:00034006	DRON:00000035
DRON:00034030	DRON:00000035
DRON:00034036	DRON:00000034
DRON:00034050	DRON:00000035
DRON:00034172	DRON:00000035
DRON:00034243	DRON:00000035
DRON:00034273	DRON:00000033
DRON:00034303	DRON:00000035
DRON:00034304	DRON:00000035
DRON:00034318	DRON:00000035
DRON:00034345	DRON:00000035
DRON:00724276	DRON:00000035
DRON:00730968	DRON:00000035
DRON:00731038	DRON:00000035
DRON:00731088	DRON:00000035
DRON:00731098	DRON:00000035
DRON:00731118	DRON:00000035
DRON:00731190	DRON:00000035
DRON:00731202	DRON:00000035
DRON:00731239	DRON:00000035
DRON:00731431	DRON:00000035
DRON:00731547	DRON:00000035
DRON:00731667	DRON:00000035
DRON:00731700	DRON:00000035
