clinical_drug_form	ingredient
DRON:00020540	CHEBI:133809
DRON:00020541	CHEBI:29016
DRON:00020542	CHEBI:29016
DRON:00020543	CHEBI:29016
DRON:00020543	CHEBI:3311
DRON:00020544	CHEBI:22652
DRON:00020545	CHEBI:22652
DRON:00020545	DRON:00018133
DRON:00020546	CHEBI:22652
DRON:00020546	DRON:00018133
DRON:00020547	CHEBI:22652
DRON:00020548	CHEBI:22652
DRON:00020549	CHEBI:22652
DRON:00020550	CHEBI:22652
DRON:00020551	CHEBI:22652
DRON:00020552	CHEBI:22652
DRON:00020553	CHEBI:22652
DRON:00020554	CHEBI:22652
DRON:00020554	CHEBI:28527
DRON:00020555	CHEBI:22660
DRON:00020556	CHEBI:15365
DRON:00020557	CHEBI:15365
DRON:00020558	CHEBI:15365
DRON:00020559	CHEBI:15365
DRON:00020560	CHEBI:15365
DRON:00020560	CHEBI:27732
DRON:00020561	CHEBI:2896
DRON:00020562	DRON:00010092
DRON:00020563	CHEBI:2904
DRON:00020564	CHEBI:2904
DRON:00020564	CHEBI:3654
DRON:00020565	CHEBI:39548
DRON:00020566	CHEBI:575568
DRON:00020567	CHEBI:575568
DRON:00020567	CHEBI:8455
DRON:00020568	CHEBI:16684
DRON:00020569	CHEBI:16684
DRON:00020570	CHEBI:82365
DRON:00020571	CHEBI:82365
DRON:00020572	CHEBI:82365
DRON:00020573	CHEBI:2922
DRON:00020574	DRON:00015828
DRON:00020575	CHEBI:5775
DRON:00020576	CHEBI:5775
DRON:00020577	CHEBI:5775
DRON:00020577	CHEBI:5778
DRON:00020578	CHEBI:17883
DRON:00020579	CHEBI:5778
DRON:00020580	CHEBI:5778
DRON:00020581	CHEBI:5778
DRON:00020582	CHEBI:2639
DRON:00020582	CHEBI:5778
DRON:00020583	CHEBI:5778
DRON:00020583	CHEBI:9241
DRON:00020584	CHEBI:5778
DRON:00020584	CHEBI:9671
DRON:00020585	CHEBI:46195
DRON:00020585	CHEBI:5779
DRON:00020586	CHEBI:46195
DRON:00020586	CHEBI:5779
DRON:00020587	CHEBI:15365
