rxcui	drugbank
1678943	DB11991
1679495	DB06075
1679755	DB14882
1679862	DB11825
1680377	DB13113
1680953	DB14562
1681530	DB11845
1681654	DB11765
1681661	DB16065
1682054	DB12632
1682302	DB14809
1682918	DB12925
1683413	DB12566
1684314	DB14520
1684958	DB12114
1685480	DB11977
1685939	DB16932
1686070	DB15409
1686137	DB15323
1686226	DB12733
1687463	DB05035
1688899	DB12866
1689068	DB13062
1689336	DB12729
1690196	DB14767
1690424	DB05189
1691058	DB12527
1691803	DB11857
1692491	DB11833
1693768	DB15499
1694480	DB11907
1695138	DB14809
1695898	DB12049
1696138	DB12456
1696753	DB11650
1697562	DB15319
1697824	DB15249
1699367	DB13055
1700085	DB06324
1700384	DB12678
1700610	DB05560
1700611	DB12409
1700746	DB06604
1702969	DB13165
1703244	DB11856
1704278	DB16407
1704583	DB15009
1704933	DB12660
1706996	DB12875
1707169	DB12827
1708929	DB12051
1709016	DB12158
1709451	DB16879
1709595	DB07933
1709877	DB17800
1709906	DB12225
1710240	DB16060
1710299	DB15130
1710568	DB12059
1711904	DB15244
1711914	DB14808
1713375	DB11954
1713923	DB15324
1714787	DB06576
1716191	DB09264
1716203	DB09263
1716278	DB05109
1716523	DB11050
1720259	DB09105
1720597	DB06612
1720882	DB11633
1721264	DB13896
1721293	DB16249
1721560	DB09330
1721603	DB09299
1721695	DB15607
1721947	DB09331
1722035	DB14139
1722234	DB14092
1722335	DB09057
1722365	DB05239
1722381	DB14273
1722382	DB14103
1722683	DB13903
1722696	DB13900
1722698	DB13898
1722700	DB13902
1722702	DB13897
1722704	DB13901
1722706	DB13899
1722914	DB11297
1723152	DB09028
1723735	DB09570
1723738	DB09559
1724424	DB01363
1724429	DB11835
1724429	DB17335
1726081	DB09158
1726104	DB06317
1726975	DB11563
1726988	DB06206
1727455	DB11363
1727488	DB13241
1727573	DB01172
1727875	DB11604
1728769	DB14472
1729002	DB11362
1729084	DB09108
1729152	DB09493
1730445	DB18232
1731031	DB11560
1731071	DB06717
1732380	DB14091
1733674	DB08831
1733681	DB04996
1733688	DB16052
1734628	DB11574
1734630	DB11575
1735152	DB14590
1735163	DB12792
1735326	DB14166
1737557	DB09109
1737729	DB14074
1737793	DB14248
1738095	DB15832
1739745	DB05541
1739980	DB14236
1741397	DB09329
1742747	DB03929
1743992	DB13884
1745099	DB11569
1745257	DB00076
1746889	DB06602
1746906	DB05336
1747475	DB13121
1747556	DB11581
1748619	DB04924
1748673	DB12611
1749802	DB16895
1750456	DB01531
1751436	DB00650
1753553	DB12011
1754132	DB17798
1755040	DB16106
1756593	DB05173
1756593	DB18010
1759574	DB15371
1759641	DB12246
1761410	DB12795
1762114	DB21240
1762314	DB14969
1762688	DB16076
1763312	DB15432
1763415	DB11905
1763983	DB12740
1765181	DB15138
1765270	DB15671
1768451	DB11911
1768526	DB15045
1770777	DB12030
1770920	DB13103
1771695	DB05487
1774744	DB05226
1775386	DB12132
1775960	DB12090
1776664	DB11966
1779225	DB15441
1779401	DB15441
1779888	DB16294
1779936	DB11826
1780006	DB11683
1782063	DB14905
1782814	DB12076
1782852	DB15163
1783361	DB06091
1783988	DB15432
1786538	DB12849
1786670	DB15426
1788871	DB12052
1788955	DB15142
1788981	DB12970
1789837	DB11597
1790539	DB00065
1791685	DB05316
1792776	DB11595
1794331	DB14413
1794331	DB14417
1794331	DB14424
1794331	DB14438
1794331	DB14457
1794331	DB14459
1794331	DB14467
1796118	DB13146
1796118	DB15237
1796377	DB13998
1797118	DB14554
1798288	DB05990
1798446	DB16562
1799206	DB11613
1801506	DB14319
1801603	DB14435
1801603	DB14464
1801767	DB14426
1801820	DB11611
1802483	DB14410
1802483	DB14685
1803717	DB11674
1803923	DB01143
1804203	DB00116
1805438	DB18214
1805525	DB00196
1805568	DB09346
1805574	DB00518
1805706	DB14505
1807125	DB14256
1807133	DB00458
1807386	DB12872
1807506	DB09333
1807769	DB14101
1809634	DB14080
1810569	DB06014
1811178	DB14223
1811461	DB00840
1812589	DB12872
1812935	DB14443
1813937	DB08996
1814046	DB12304
1814496	DB08079
1814791	DB00312
1815054	DB09328
1815110	DB06201
1815156	DB09195
1815247	DB05260
1815287	DB01326
1815483	DB00205
1815518	DB05829
1815612	DB00205
1816170	DB00593
1816549	DB01197
1816692	DB00668
1816953	DB06696
1817367	DB12734
1817765	DB14870
1818451	DB01089
1818493	DB05408
1819236	DB00396
1819264	DB00122
1820047	DB06650
1820068	DB01089
1820355	DB00758
1820484	DB02959
1820534	DB00260
1821000	DB01159
1821010	DB00271
1821623	DB06618
1821673	DB00182
1821773	DB00016
1821839	DB11918
1821864	DB00290
1822113	DB11798
1822341	DB00986
1822760	DB02703
1822765	DB12323
1823201	DB00237
1823515	DB09144
1823624	DB12400
1823753	DB06811
1823981	DB00396
1824697	DB12104
1825121	DB00624
1825421	DB16874
1825692	DB00016
1825947	DB00378
1826150	DB17143
1828151	DB00849
1828153	DB11726
1828826	DB09131
1829303	DB00078
1829544	DB12305
1829556	DB00396
1830126	DB00131
1830159	DB15235
1830375	DB00908
1830814	DB01599
1830881	DB08874
1831402	DB04871
1831623	DB00327
1832340	DB00259
1832368	DB01042
1832465	DB05630
1832647	DB00675
1833714	DB11758
1833950	DB00291
1834188	DB00475
1834644	DB00200
1834833	DB05254
1834886	DB16851
1835483	DB01092
1835564	DB00518
1835612	DB14982
1835940	DB00181
1836074	DB00215
1836106	DB12694
1836116	DB00205
1836328	DB06804
1836729	DB12625
1836823	DB00908
1837028	DB00476
1837415	DB00400
1837811	DB00259
1838508	DB00145
1838602	DB00759
1839029	DB00937
1839242	DB00040
1839247	DB00122
1839937	DB00033
1840119	DB12682
1840384	DB05956
1840622	DB01599
1841149	DB05630
1841923	DB00636
1842016	DB00446
1842241	DB01220
1842391	DB01285
1842577	DB06309
1842793	DB00858
1842943	DB00595
1843347	DB06678
1843585	DB01331
1843833	DB01612
1844707	DB00727
1844898	DB00575
1845231	DB11957
1845241	DB00344
1845279	DB00034
1845712	DB12345
1845850	DB00371
1845923	DB09332
1845987	DB01089
1846149	DB00761
1846179	DB00858
1846276	DB00228
1846443	DB16123
1846854	DB01621
1847159	DB08834
1847296	DB00433
1847435	DB00063
1847616	DB14802
1847705	DB00339
1848054	DB01220
1848169	DB08958
1848502	DB00593
1848704	DB01240
1848941	DB00788
1848947	DB00795
1849273	DB00981
1849288	DB00417
1849425	DB00262
1849453	DB00225
1849999	DB01026
1850412	DB06719
1850620	DB00384
1850831	DB16009
1850951	DB00233
1851090	DB00741
1851378	DB16073
1851500	DB05630
1851547	DB12524
1851854	DB11992
1852397	DB00744
1852635	DB00595
1852683	DB00741
1853438	DB01346
1853621	DB15338
1853726	DB00759
1853766	DB05368
1853870	DB14979
1854084	DB00659
1854304	DB00016
1854569	DB03209
1854622	DB08996
1855048	DB13140
1855064	DB00146
1855735	DB06043
1856273	DB15404
1856747	DB13142
1857116	DB17139
1858362	DB15659
1858418	DB00682
1858419	DB05679
1858427	DB09085
1858432	DB09357
1858437	DB09357
1858654	DB09085
1862579	DB12332
1862602	DB09115
1862951	DB12836
1863556	DB13161
1863582	DB14353
1865219	DB15578
1865222	DB16155
1865225	DB00066
1865232	DB13164
1865503	DB10997
1865953	DB05219
1866701	DB05449
1866705	DB05454
1866721	DB01439
1866734	DB05477
1866738	DB05481
1866742	DB05485
1866746	DB05489
1866748	DB05491
1866749	DB05492
1866752	DB05495
1866765	DB05512
1866767	DB05649
1866778	DB05671
1866780	DB05685
1866785	DB01443
1866789	DB01448
1866791	DB01451
1866792	DB01453
1866794	DB01455
1866800	DB01464
1866804	DB01469
1866805	DB01470
1866806	DB01473
1866807	DB01474
1866819	DB05732
1866825	DB05742
1866829	DB05746
1866836	DB05753
1866839	DB05756
1866840	DB05757
1866846	DB05765
1866849	DB05769
1866854	DB05776
1866855	DB05778
1866857	DB05780
1866867	DB05794
1866876	DB05803
1866877	DB05805
1866901	DB05832
1866937	DB08902
1866938	DB05873
1866957	DB05896
1866958	DB05897
1866959	DB05898
1866965	DB05904
1866992	DB06058
1866994	DB06061
1866996	DB00104
1867002	DB06073
1867005	DB06089
1867006	DB06090
1867009	DB06096
1867011	DB06098
1867039	DB06748
1867045	DB01477
1867056	DB04870
1867094	DB04928
1867095	DB16346
1867099	DB09168
1867101	DB09170
1867102	DB09171
1867104	DB09173
1867108	DB04936
1867111	DB04943
1867122	DB04963
1867136	DB04981
1867139	DB04986
1867141	DB09180
1867147	DB09249
1867157	DB04989
1867158	DB04991
1867162	DB04997
1867165	DB05000
1867180	DB05019
1867182	DB05021
1867187	DB05055
1867193	DB05033
1867212	DB05052
1867214	DB01478
1867215	DB01479
1867217	DB01481
1867224	DB01499
1867225	DB01500
1867227	DB01503
1867230	DB05059
1867238	DB05068
1867239	DB05069
1867241	DB05071
1867242	DB05072
1867246	DB05078
1867250	DB05082
1867256	DB05091
1867258	DB05093
1867268	DB05106
1867285	DB01532
1867286	DB01510
1867288	DB01513
1867290	DB01516
1867295	DB01526
1867297	DB01528
1867298	DB01530
1867299	DB01531
1867302	DB05125
1867308	DB05131
1867320	DB05144
1867333	DB05157
1867348	DB05174
1867353	DB05180
1867357	DB05184
1867363	DB01534
1867366	DB01540
1867368	DB01543
1867378	DB05195
1867382	DB05200
1867383	DB05201
1867395	DB05214
1867400	DB05222
1867400	DB17788
1867406	DB05228
1867411	DB05236
1867419	DB05249
1867425	DB05257
1867426	DB01554
1867428	DB01557
1867431	DB01562
1867433	DB01568
1867437	DB05268
1867444	DB05290
1867452	DB05300
1867453	DB05301
1867457	DB05306
1867463	DB05313
1867467	DB05319
1867468	DB05320
1867475	DB05329
1867479	DB05337
1867490	DB01573
1867511	DB05369
1867513	DB05371
1867526	DB05391
1868064	DB05505
1868488	DB03754
1869982	DB00447
1871129	DB01444
1871130	DB04819
1871133	DB01444
1871173	DB11575
1871175	DB13670
1871179	DB04915
1872047	DB02365
1872246	DB02961
1872251	DB11776
1872381	DB14129
1872382	DB14218
1872441	DB12095
1872913	DB05868
1873122	DB09393
1873752	DB13170
1873916	DB11730
1874014	DB09096
1874571	DB05152
1874753	DB01323
1874767	DB09311
1875534	DB11945
1876119	DB12865
1876366	DB11988
1876376	DB12159
1876597	DB11691
1876905	DB12161
1877402	DB05915
1877404	DB05054
1877408	DB04921
1877503	DB01502
1877622	DB01505
1877786	DB05851
1878301	DB12224
1878357	DB05143
1878645	DB05009
1878746	DB04972
1879636	DB14901
1880075	DB06129
1880127	DB04959
1880299	DB05146
1880430	DB01552
1880783	DB05777
1880836	DB05149
1880948	DB03044
1881243	DB01522
1881501	DB11717
1881592	DB08891
1881877	DB03823
1882029	DB01468
1882035	DB13060
1884048	DB05190
1884583	DB05818
1885206	DB11818
1885497	DB05809
1886305	DB05831
1887034	DB17521
1887255	DB05113
1887559	DB15199
1887780	DB05243
1887912	DB14791
1888142	DB04850
1888221	DB05920
1888398	DB05237
1888548	DB05140
1888907	DB15036
1889383	DB05103
1889616	DB05502
1890777	DB12683
1891756	DB01512
1892114	DB15639
1892689	DB04969
1892924	DB14768
1893445	DB05916
1893738	DB05182
1893777	DB05014
1893914	DB01518
1894295	DB01475
1894411	DB06097
1894925	DB05204
1896060	DB15222
1896421	DB01444
1896764	DB05918
1898398	DB01498
1899342	DB17796
1900549	DB05827
1900715	DB12285
1901629	DB11889
1901798	DB12152
1902609	DB16911
1903566	DB16376
1904202	DB11939
1904333	DB04891
1904490	DB06116
1905507	DB14909
1905666	DB01523
1905671	DB11690
1906471	DB15195
1908248	DB04847
1910006	DB11008
1910434	DB01542
1910581	DB17219
1911407	DB14845
1912073	DB12162
1912435	DB09251
1912590	DB12997
1918219	DB11915
1918231	DB11793
1918319	DB13100
1919083	DB06595
1919503	DB11714
1921069	DB05084
1921110	DB14130
1921217	DB12267
1921463	DB14586
1921585	DB16560
1921877	DB12243
1922436	DB13173
1922448	DB06654
1922505	DB11737
1922738	DB10379
1922741	DB10370
1922745	DB10366
1922750	DB14164
1922751	DB13907
1923319	DB11767
1923627	DB05374
1923628	DB02381
1923630	DB07138
1923632	DB07885
1923634	DB11749
1923637	DB04789
1923639	DB08079
1923640	DB02381
1923698	DB11731
1923811	DB15574
1925821	DB03247
1925834	DB10932
1926606	DB05511
1926608	DB05944
1926609	DB06094
1926615	DB11973
1926616	DB12398
1926620	DB12747
1926623	DB01543
1926625	DB05053
1926836	DB12224
1927283	DB00065
1927663	DB11943
1927851	DB12364
1927940	DB05394
1927942	DB05254
1927942	DB22676
1927944	DB05254
1928001	DB09336
1928002	DB01479
1928289	DB14422
1928289	DB14423
1928289	DB14458
1928290	DB14432
1928290	DB14433
1928290	DB14437
1928290	DB14440
1928290	DB14461
1928290	DB14462
1928290	DB14466
1928290	DB14468
1928528	DB14434
1928528	DB14463
1928543	DB09087
1928548	DB05029
1928549	DB05202
1928559	DB11854
1928563	DB12716
1928588	DB11834
1928672	DB06736
1928673	DB00184
1928676	DB13170
1928677	DB00066
1928679	DB00066
1928707	DB10526
1933789	DB11229
1934521	DB14702
1939323	DB12026
1939536	DB12155
1939538	DB12165
1939540	DB12170
1939541	DB12171
1939544	DB12180
1939546	DB12186
1939547	DB12187
1939548	DB12188
1939549	DB12192
1939550	DB12196
1939551	DB12197
1939554	DB12206
1939555	DB12210
1939557	DB12219
1939558	DB12227
1939559	DB12229
1939561	DB12244
1939563	DB12252
1939567	DB17118
1939568	DB12260
1939570	DB12262
1939571	DB12266
1939573	DB12271
1939576	DB12284
1939577	DB12287
1939580	DB12295
1939582	DB12297
1939584	DB12303
1939585	DB12311
1939587	DB12322
1939589	DB12331
1939590	DB12336
1939591	DB12337
1939596	DB12356
1939600	DB12368
1939607	DB12386
1939608	DB12388
1939609	DB12389
1939611	DB12394
1939612	DB12397
1939613	DB12399
1939614	DB12408
1939617	DB12414
1939620	DB12433
1939622	DB12438
1939623	DB12439
1939624	DB12440
1939629	DB12461
1939630	DB12462
1939631	DB12464
1939632	DB12468
1939633	DB12476
1939634	DB12477
1939635	DB02381
1939644	DB12505
1939646	DB12507
1939649	DB12512
1939651	DB12514
1939652	DB12522
1939653	DB12526
1939655	DB12535
1939656	DB12542
1939659	DB12547
1939661	DB12557
1939663	DB12561
1939665	DB12567
1939667	DB12573
1939668	DB12575
1939670	DB12580
1939671	DB12585
1939672	DB12586
1939673	DB12587
1939675	DB12594
1939676	DB12595
1939679	DB12605
1939682	DB12623
1939684	DB12627
1939685	DB12628
1939691	DB12639
1939692	DB12641
1939693	DB12642
1939694	DB12643
1939695	DB17078
1939699	DB12654
1939701	DB12657
1939702	DB12659
1939706	DB12673
1939708	DB12675
1939711	DB11654
1939712	DB11658
1939713	DB11661
1939715	DB11663
1939717	DB12676
1939719	DB12680
1939720	DB12685
1939721	DB12687
1939722	DB12689
1939723	DB12690
1939724	DB12703
1939725	DB12705
1939728	DB12717
1939730	DB12720
1939731	DB12721
1939732	DB12722
1939733	DB12724
1939736	DB12738
1939737	DB12741
1939738	DB12743
1939739	DB12744
1939740	DB12745
1939744	DB11704
1939746	DB11707
1939748	DB11710
1939749	DB11711
1939751	DB11713
1939752	DB11719
1939753	DB11721
1939757	DB11734
1939758	DB11736
1939760	DB11744
1939762	DB12760
1939764	DB12763
1939765	DB12774
1939767	DB12776
1939768	DB12778
1939770	DB12785
1939771	DB12786
1939773	DB12794
1939774	DB12796
1939776	DB12798
1939781	DB12810
1939785	DB11755
1939787	DB11769
1939788	DB11775
1939790	DB11786
1939791	DB11787
1939792	DB11795
1939795	DB11806
1939796	DB11807
1939797	DB11809
1939798	DB11810
1939803	DB12817
1939805	DB12819
1939809	DB12837
1939815	DB12857
1939816	DB12858
1939817	DB12861
1939819	DB11819
1939832	DB11867
1939833	DB11870
1939834	DB11873
1939836	DB12884
1939839	DB12888
1939841	DB12892
1939843	DB12897
1939847	DB12910
1939850	DB12919
1939852	DB12928
1939854	DB12933
1939855	DB12934
1939856	DB12937
1939857	DB11877
1939861	DB11885
1939867	DB11903
1939868	DB11912
1939870	DB11917
1939871	DB11922
1939872	DB11923
1939873	DB11925
1939880	DB11946
1939883	DB12949
1939884	DB12950
1939885	DB12952
1939886	DB12953
1939887	DB12955
1939888	DB12956
1939889	DB12959
1939890	DB12963
1939893	DB12977
1939896	DB12990
1939898	DB11961
1939899	DB11962
1939901	DB11969
1939903	DB11971
1939909	DB11987
1939910	DB11990
1939911	DB12000
1939912	DB12004
1939914	DB12008
1939915	DB12009
1939916	DB12013
1939921	DB12999
1939923	DB13002
1939924	DB13005
1939925	DB13006
1939928	DB13010
1939931	DB13016
1939933	DB13021
1939934	DB13022
1939935	DB13032
1939937	DB13035
1939940	DB13041
1939943	DB12032
1939945	DB12036
1939946	DB12043
1939950	DB12065
1939951	DB12067
1939952	DB12069
1939953	DB12074
1939955	DB13054
1939957	DB13057
1939958	DB13065
1939959	DB13072
1939963	DB13078
1939965	DB13085
1939966	DB13087
1939967	DB13088
1939968	DB13090
1939970	DB13102
1939972	DB13107
1939973	DB13112
1939975	DB12084
1939976	DB12085
1939977	DB12096
1939978	DB12097
1939979	DB12098
1939981	DB12106
1939983	DB12108
1939984	DB12112
1939985	DB12115
1939986	DB12120
1939987	DB12121
1939988	DB12133
1939989	DB12135
1939993	DB12143
1939995	DB12154
1939996	DB13119
1939997	DB13120
1939998	DB13122
1939999	DB13123
1940003	DB13138
1940332	DB13874
1940622	DB11767
1940623	DB11767
1940635	DB13879
1940636	DB13878
1940643	DB11828
1940658	DB15824
1940755	DB09129
1940796	DB12363
1940797	DB12607
1940798	DB12342
1940799	DB12157
1940802	DB12634
1940804	DB12609
1940806	DB12346
1940807	DB12261
1940965	DB18909
1941180	DB00100
1941188	DB12258
1941192	DB12631
1941210	DB12648
1941213	DB12626
1941214	DB12578
1941217	DB12495
1941218	DB12490
1941221	DB05088
1941222	DB12441
1941327	DB12421
1941328	DB12413
1941330	DB12373
1941332	DB12269
1941333	DB12256
1941335	DB12199
1941336	DB11667
1941337	DB12775
1941339	DB12815
1941341	DB11849
1941342	DB11862
1941344	DB12824
1941345	DB12759
1941346	DB11926
1941347	DB11930
1941351	DB12014
1941352	DB11983
1941354	DB13073
1941355	DB12018
1941362	DB11879
1941363	DB12932
1941364	DB12920
1941366	DB12906
1941367	DB12889
1941370	DB11839
1941371	DB11822
1941373	DB12871
1941379	DB12788
1941382	DB11824
1941482	DB12814
1941951	DB09543
1941952	DB12582
1941997	DB12431
1941998	DB12431
1942006	DB12652
1942007	DB12652
1942008	DB12652
1942039	DB12728
1942047	DB12310
1942051	DB12475
1942054	DB12814
1942055	DB11869
1942057	DB12792
1942058	DB11848
1942060	DB11955
1942064	DB12040
1942065	DB13052
1942066	DB12131
1942125	DB14441
1942125	DB14469
1942191	DB09496
1942688	DB05737
1942950	DB05889
1942960	DB18634
1943794	DB14225
1944552	DB12878
1944553	DB13010
1944696	DB11599
1945077	DB12483
1945091	DB12737
1945099	DB11711
1945100	DB13119
1945117	DB11579
1945126	DB11102
1945129	DB11075
1945132	DB12534
1945184	DB12956
1945213	DB12107
1945689	DB11222
1945735	DB09498
1946533	DB11577
1946536	DB11577
1946540	DB11577
1946825	DB12001
1946964	DB14425
1948090	DB12365
1948209	DB12482
1948344	DB11904
1948451	DB09339
1948790	DB12177
1948911	DB11863
1949039	DB12601
1949401	DB11731
1949442	DB12571
1949770	DB13034
1949862	DB12381
1949872	DB12294
1950073	DB16095
1950291	DB12435
1950298	DB16250
1950385	DB13037
1950831	DB05412
1951019	DB12508
1951060	DB11984
1951118	DB17018
1951248	DB12652
1951447	DB05460
1951478	DB09298
1951515	DB12550
1951940	DB11884
1952048	DB11745
1952055	DB12797
1952451	DB13017
1952513	DB12325
1952808	DB12635
1953007	DB11708
1953056	DB11968
1953152	DB12167
1953447	DB12593
1953865	DB12183
1953937	DB06326
1953961	DB12446
1954200	DB09499
1954224	DB13048
1954266	DB12940
1954444	DB12425
1954472	DB16184
1954987	DB12506
1955274	DB11902
1955546	DB11678
1955867	DB07238
1956266	DB05160
1956528	DB12938
1956697	DB05414
1956874	DB12050
1956897	DB12296
1957235	DB16259
1957498	DB12564
1957842	DB11647
1958200	DB12813
1958222	DB12383
1958453	DB11706
1958456	DB12520
1958704	DB11764
1958920	DB11821
1958953	DB11838
1959486	DB12809
1959823	DB11982
1960074	DB12731
1960224	DB12393
1960341	DB12559
1960801	DB01169
1961338	DB12669
1961378	DB11813
1961452	DB12152
1961572	DB12737
1961658	DB12706
1961820	DB12317
1962378	DB12636
1962582	DB17264
1962976	DB11772
1963029	DB17267
1963163	DB12840
1963802	DB12985
1964251	DB06342
1966241	DB06305
1966460	DB12208
1966549	DB12326
1966562	DB15281
1966902	DB09140
1967271	DB12966
1967284	DB12878
1967331	DB12559
1967632	DB13000
1967731	DB11754
1967872	DB12077
1969388	DB15007
1969927	DB12357
1970165	DB13930
1970660	DB12974
1971200	DB12142
1971992	DB12344
1972277	DB12178
1973099	DB12511
1973113	DB08964
1973885	DB11970
1974348	DB11662
1974898	DB12275
1975526	DB14871
1976858	DB12719
1978707	DB04949
1978997	DB14982
1979336	DB13094
1980390	DB12198
1980717	DB16230
1981591	DB16312
1982756	DB15652
1984146	DB17264
1984638	DB14856
1985045	DB14843
1985826	DB16309
1986366	DB00626
1986438	DB13881
1986787	DB15205
1986792	DB14171
1986808	DB11703
1986820	DB13924
1987398	DB13915
1988390	DB11660
1988648	DB12070
1989100	DB12023
1989289	DB12156
1989334	DB14374
1989794	DB13923
1989795	DB13923
1989818	DB12366
1989819	DB12366
1989876	DB01637
1989878	DB02893
1989881	DB03567
1989882	DB03856
1989884	DB04090
1989886	DB04455
1989889	DB08490
1989891	DB11794
1989892	DB13914
1989894	DB01936
1990418	DB14107
1990423	DB14173
1990855	DB13933
1991302	DB13928
1991666	DB03017
1992429	DB01632
1992433	DB01632
1992672	DB11827
1992843	DB04313
1992854	DB06361
1992864	DB13931
1992874	DB11585
1992877	DB03323
1992878	DB04005
1993232	DB14771
1994339	DB05533
1994345	DB11643
1994739	DB12924
1995214	DB05516
1995249	DB14373
1995305	DB13323
1995537	DB13932
1995538	DB13932
1995554	DB00005
1996262	DB14947
1996266	DB16190
1996271	DB15575
1996272	DB15290
1996382	DB13141
1996383	DB13141
1997176	DB12374
1997187	DB10541
1997247	DB08687
1997253	DB06346
1997254	DB06625
1997261	DB06669
1997267	DB06302
1997268	DB06307
1997269	DB06325
1997273	DB06506
1997288	DB11634
1997291	DB06161
1997292	DB06166
1997295	DB05525
1997297	DB05555
1997300	DB05586
1997301	DB05594
1997302	DB05596
1997303	DB01572
1997305	DB05938
1997306	DB05945
1997307	DB05961
1997309	DB05967
1997310	DB05971
1997312	DB05974
1997316	DB05642
1997323	DB06005
1997327	DB05606
1997333	DB13934
1997335	DB13982
1997443	DB13886
1998743	DB14121
1998840	DB16404
1998841	DB17992
1998858	DB11482
1998867	DB15594
1998872	DB05638
1998899	DB17992
1998943	DB08845
1998956	DB05735
1998968	DB13977
1999003	DB11842
1999221	DB11638
1999318	DB06040
1999320	DB14369
1999335	DB13985
1999347	DB11568
1999348	DB11567
1999382	DB11712
1999402	DB05631
1999420	DB13074
1999435	DB06611
1999474	DB06475
1999490	DB13201
1999491	DB00140
1999541	DB06778
1999574	DB11901
1999660	DB11799
1999764	DB12983
1999801	DB09334
2000577	DB14158
2001103	DB06134
2001104	DB13939
2001205	DB04075
2001209	DB05549
2001212	DB05296
2001352	DB15465
2001577	DB06317
2001615	DB14376
2001758	DB13075
2001986	DB14043
2002417	DB05400
2003595	DB12762
2004268	DB05448
2004521	DB05542
2004560	DB12477
2005073	DB06610
2005591	DB06519
2006041	DB05645
2006129	DB06191
2007592	DB05653
2009522	DB06187
2010213	DB06400
2010631	DB06560
2010942	DB06638
2011468	DB15156
2013090	DB06545
2013092	DB06336
2013096	DB15212
2013167	DB06299
2013790	DB16100
2016336	DB05706
2016467	DB15308
2017829	DB15169
2019516	DB06620
2020149	DB06548
2020184	DB15214
2021738	DB16131
2022649	DB13157
2023761	DB16195
2023862	DB16340
2024501	DB05580
2026417	DB16170
2026628	DB05931
2027137	DB15349
2027896	DB15221
2027921	DB14993
2028226	DB15370
2028360	DB15041
2029620	DB05686
2029904	DB06140
2031831	DB14779
2032268	DB02891
2032687	DB16369
2032881	DB05608
2034037	DB06481
2035677	DB16212
2035721	DB17578
2036493	DB17750
2036686	DB15010
2037567	DB15065
2037942	DB06266
2038115	DB16069
2039133	DB14872
2039969	DB05531
2040270	DB14959
2041737	DB15158
2042460	DB15385
2043275	DB15509
2043283	DB12698
2043313	DB12698
2043472	DB11331
2043474	DB13967
2043475	DB14017
2043480	DB00565
2043575	DB11065
2043576	DB11168
2043675	DB13178
2043677	DB13198
2043678	DB13198
2043679	DB13207
2043854	DB14012
2043855	DB14012
2044417	DB14019
2044896	DB12010
2045114	DB14562
2045371	DB09061
2045371	DB19261
2045613	DB14039
2045614	DB14039
2045726	DB11995
2045732	DB14556
2045964	DB13235
2046138	DB00112
2046360	DB12839
2046361	DB12839
2046522	DB09337
2046527	DB04540
2046640	DB13293
2046645	DB13751
2046646	DB13882
2046648	DB11198
2046649	DB11198
2046650	DB11198
2046651	DB11198
2046965	DB11482
2047057	DB11333
2047058	DB11358
2047059	DB11631
2047062	DB11631
2047064	DB11361
2047191	DB11578
2047192	DB11201
2047232	DB11817
2047262	DB14009
2047264	DB14009
2047589	DB00016
2047628	DB14048
2048006	DB06133
2048007	DB05620
2048010	DB13994
2048011	DB14055
2048018	DB00019
2048043	DB00238
2048116	DB05552
2048292	DB00332
2048293	DB14091
2048297	DB04932
2048298	DB14094
2048300	DB12839
2048301	DB14048
2048563	DB14559
2048563	DB14561
2048563	DB14591
2048563	DB14593
2048563	DB14595
2048564	DB14558
2048564	DB14560
2048564	DB14587
2048564	DB14592
2048564	DB14594
2048564	DB14696
2048709	DB15920
2048806	DB14114
2049106	DB11718
2049122	DB11967
2049389	DB13503
2049549	DB12615
2049598	DB13518
2049680	DB13800
2049846	DB11979
2049873	DB14568
2049894	DB14162
2050069	DB14431
2050073	DB14436
2050074	DB14444
2050075	DB14445
2050077	DB14447
2050078	DB14450
2050089	DB14454
2050092	DB14530
2050102	DB14394
2050103	DB14395
2050104	DB14396
2050107	DB14387
2050108	DB14146
2050109	DB14397
2050110	DB14399
2050112	DB14401
2050113	DB14404
2050114	DB14405
2050115	DB14406
2050116	DB14411
2050117	DB14412
2050118	DB14414
2050119	DB14415
2050120	DB14419
2050134	DB14156
2050135	DB14156
2050140	DB14158
2050142	DB04272
2050143	DB09226
2050144	DB09226
2050145	DB11136
2050150	DB14507
2050160	DB09275
2050169	DB14488
2050170	DB09341
2050171	DB14513
2050172	DB00545
2050173	DB14545
2050174	DB14512
2050197	DB14562
2050198	DB14580
2050200	DB00789
2050201	DB14443
2050206	DB00994
2050207	DB00994
2050208	DB00994
2050209	DB14515
2050218	DB14473
2050220	DB14400
2050221	DB14390
2050222	DB14455
2050223	DB14389
2050224	DB14392
2050225	DB14393
2050227	DB14465
2050228	DB14451
2050229	DB14452
2050230	DB14453
2050231	DB14456
2050232	DB14384
2050235	DB14460
2053436	DB14004
2053449	DB14004
2053490	DB14582
2054023	DB06608
2054068	DB12498
2054077	DB12498
2054166	DB00062
2054177	DB14697
2054252	DB05018
2054968	DB09118
2054984	DB13125
2055104	DB12020
2055640	DB14597
2055641	DB14597
2055654	DB09329
2055655	DB14700
2055755	DB12301
2055906	DB12329
2055944	DB09138
2055977	DB14583
2055992	DB14583
2056341	DB12797
2056521	DB15562
2056523	DB15508
2056523	DB15563
2056525	DB15507
2056525	DB15564
2056655	DB14388
2056690	DB14041
2056691	DB14041
2057087	DB04545
2057088	DB06489
2057089	DB05592
2057093	DB06597
