rxcui	drugbank
4678	DB01004
4695	DB15217
4714	DB12079
4716	DB11242
4719	DB01241
4778	DB00406
4791	DB14677
4792	DB11619
4806	DB08963
4815	DB01016
4816	DB01120
4821	DB01067
4832	DB00040
4845	DB01296
4850	DB01914
4850	DB09341
4885	DB00130
4888	DB03266
4890	DB00143
4903	DB01437
4910	DB09462
4917	DB00727
4918	DB04660
4919	DB00145
4952	DB00024
4955	DB00986
4980	DB09121
4981	DB09276
4992	DB13044
4992	DB17379
5004	DB00027
5007	DB00027
5010	DB00027
5011	DB00027
5021	DB00400
5031	DB11359
5032	DB00874
5033	DB00629
5036	DB01170
5069	DB16183
5084	DB06786
5093	DB00502
5095	DB01159
5101	DB07919
5140	DB09155
5150	DB13387
5164	DB16183
5168	DB18267
5175	DB03404
5202	DB04945
5210	DB18229
5224	DB01109
5237	DB11627
5254	DB13574
5281	DB04703
5293	DB00756
5296	DB00488
5300	DB07931
5301	DB08958
5303	DB13265
5307	DB08957
5321	DB11254
5333	DB05381
5340	DB00117
5424	DB04422
5463	DB08818
5470	DB01275
5486	DB13366
5487	DB00999
5489	DB00956
5492	DB00741
5495	DB00774
5496	DB11072
5497	DB15127
5499	DB11091
5509	DB09526
5514	DB00200
5521	DB01611
5526	DB08956
5531	DB09106
5542	DB14570
5552	DB01005
5553	DB00557
5556	DB07118
5640	DB01050
5645	DB11341
5650	DB01177
5653	DB00249
5654	DB01271
5656	DB00090
5657	DB01181
5690	DB01598
5691	DB00458
5764	DB00808
5775	DB16024
5781	DB00328
5783	DB08951
5784	DB08950
5832	DB04566
5833	DB13178
5856	DB00030
5869	DB01277
5879	DB00034
5880	DB00105
5882	DB00033
5889	DB14865
5891	DB12182
5920	DB09349
5924	DB00638
5928	DB08948
5932	DB12754
5933	DB05382
5936	DB04711
5942	DB04815
5944	DB15445
5956	DB01362
5966	DB08947
5967	DB08946
5968	DB01187
5970	DB09133
5975	DB13293
5976	DB09333
5981	DB04818
5992	DB00893
6011	DB01247
6022	DB00852
6023	DB00221
6026	DB00753
6027	DB00677
6033	DB00167
6038	DB00951
6039	DB16884
6048	DB13156
6054	DB01064
6057	DB09401
6058	DB00883
6064	DB00982
6066	DB08941
6069	DB00602
6084	DB01321
6086	DB16639
6095	DB13197
6099	DB01172
6102	DB01575
6130	DB01221
6131	DB12465
6135	DB01026
6142	DB01009
6146	DB00920
6179	DB11937
6181	DB12970
6185	DB00598
6205	DB15823
6211	DB04465
6218	DB00581
6227	DB11112
6292	DB13480
6308	DB00149
6313	DB00650
6363	DB11858
6365	DB12961
6370	DB00504
6371	DB00848
6373	DB00367
6375	DB01235
6377	DB06793
6378	DB00854
6379	DB02239
6383	DB14741
6384	DB00644
6387	DB00281
6390	DB13766
6398	DB01627
6400	DB14104
6404	DB11357
6406	DB13147
6417	DB00166
6446	DB00589
6448	DB01356
6464	DB05137
6466	DB01206
6468	DB00836
6470	DB00186
6472	DB00227
6475	DB00408
6478	DB04967
6510	DB11151
6513	DB00256
6529	DB12474
6531	DB14642
6534	DB04829
6536	DB00123
6572	DB06795
6574	DB14513
6579	DB09407
6581	DB09104
6582	DB01377
6585	DB00653
6606	DB00772
6628	DB00742
6633	DB12907
6646	DB00934
6650	DB14009
6664	DB00579
6672	DB00643
6673	DB00657
6674	DB00888
6676	DB00737
6678	DB00939
6680	DB13437
6686	DB13401
6690	DB09124
6693	DB00784
6694	DB00358
6703	DB19378
6704	DB09415
6710	DB12864
6711	DB01065
6718	DB01042
6719	DB01043
6728	DB00170
6745	DB00032
6745	DB09126
6750	DB00825
6751	DB13633
6754	DB00454
6755	DB13583
6756	DB01365
6757	DB00532
6758	DB00849
6759	DB00961
6760	DB00371
6762	DB13392
6765	DB06823
6775	DB19083
6779	DB00933
6781	DB13587
6782	DB01357
6805	DB00610
6809	DB00331
6812	DB00931
6813	DB00333
6814	DB01433
6816	DB01577
6818	DB13586
6821	DB00940
6822	DB04819
6823	DB04833
6825	DB00463
6826	DB00703
6832	DB06799
6833	DB13710
6834	DB13520
6835	DB00763
6837	DB00134
6845	DB00423
6847	DB00474
6851	DB00563
6852	DB01403
6853	DB00723
6854	DB00553
6857	DB01028
6860	DB00232
6868	DB12967
6873	DB11228
6876	DB00968
6878	DB09241
6883	DB00353
6899	DB06707
6901	DB00422
6902	DB00959
6903	DB14644
6904	DB06710
6910	DB01107
6911	DB00247
6915	DB01233
6916	DB00524
6918	DB00264
6922	DB00916
6923	DB01011
6926	DB00379
6927	DB00948
6929	DB06148
6932	DB01110
6960	DB00683
6963	DB00211
6964	DB00834
6972	DB11057
6980	DB01017
6984	DB00350
6985	DB13287
6992	DB11716
6995	DB06810
7000	DB12967
7001	DB12916
7004	DB00648
7005	DB01204
7019	DB01618
7023	DB09282
7024	DB11137
7052	DB00295
7069	DB04570
7072	DB17612
7098	DB12458
7119	DB13801
7145	DB01024
7157	DB16952
7206	DB01460
7207	DB01488
7213	DB00332
7222	DB00157
7226	DB01203
7233	DB00607
7236	DB13588
7238	DB00844
7240	DB00779
7242	DB01183
7243	DB00704
7244	DB00984
7244	DB13169
7247	DB06711
7258	DB00788
7268	DB00826
7271	DB15591
7285	DB12293
7299	DB00994
7301	DB11589
7315	DB01400
7327	DB12620
7337	DB00955
7366	DB11788
7393	DB00627
7394	DB04820
7396	DB00622
7398	DB00699
7402	DB06803
7405	DB00627
7405	DB02701
7407	DB00184
7417	DB01115
7418	DB04552
7419	DB13724
7421	DB11820
7424	DB13655
7426	DB00393
7427	DB12172
7428	DB13069
7435	DB00401
7439	DB14049
7440	DB01595
7441	DB01054
7442	DB00435
7454	DB00698
7455	DB00336
7456	DB09152
7476	DB00325
7485	DB09112
7486	DB06690
7500	DB04821
7512	DB00368
7513	DB12787
7514	DB00717
7515	DB09371
7517	DB01059
7518	DB09389
7520	DB15458
7531	DB00540
7533	DB06174
7538	DB01051
7539	DB00721
7543	DB13838
7595	DB06152
7597	DB00646
7617	DB00104
7623	DB01165
7624	DB11338
7631	DB04224
7646	DB00338
7674	DB12930
7676	DB11130
7688	DB00816
7701	DB13026
7704	DB00129
7712	DB02262
7715	DB01173
7762	DB01092
7773	DB00713
7778	DB01096
7779	DB00621
7781	DB00842
7798	DB13627
7799	DB03209
7801	DB01580
7804	DB00497
7806	DB09140
7812	DB00935
7813	DB06412
7814	DB01192
7816	DB03585
7817	DB14627
7818	DB00219
7820	DB05262
7821	DB00595
7824	DB00107
7832	DB00345
7833	DB00233
7839	DB09352
7879	DB12822
7880	DB00085
7883	DB01337
7891	DB01783
7892	DB11193
7895	DB01113
7909	DB09117
7930	DB01626
7934	DB01421
7949	DB15586
7960	DB00487
7966	DB01230
7973	DB01359
7974	DB13791
7975	DB00859
7980	DB01053
7983	DB09320
7984	DB00417
7992	DB06154
7993	DB00183
7994	DB00738
8001	DB00652
8004	DB00312
8005	DB01090
8007	DB00686
8010	DB05630
8011	DB00552
8013	DB00806
