branded_drug	ingredient
DRON:00069636	DRON:00723479
DRON:00069636	DRON:00723499
DRON:00069639	CHEBI:132106
DRON:00069639	CHEBI:17987
DRON:00069639	CHEBI:31835
DRON:00069639	CHEBI:32063
DRON:00069639	CHEBI:32234
DRON:00069639	CHEBI:46726
DRON:00069639	CHEBI:50821
DRON:00069639	CHEBI:5291
DRON:00069639	CHEBI:61468
DRON:00069639	CHEBI:85146
DRON:00069639	CHEBI:88542
DRON:00069639	DRON:00020263
DRON:00069639	DRON:00723226
DRON:00069639	DRON:00723503
DRON:00069639	DRON:01002945
DRON:00069658	CHEBI:32234
DRON:00069658	CHEBI:50819
DRON:00069658	CHEBI:5291
DRON:00069658	CHEBI:53248
DRON:00069658	DRON:00020263
DRON:00069658	DRON:00723503
DRON:00069663	CHEBI:17716
DRON:00069663	CHEBI:2877
DRON:00069663	CHEBI:29864
DRON:00069663	CHEBI:30618
DRON:00069663	CHEBI:32234
DRON:00069663	CHEBI:5291
DRON:00069663	CHEBI:62968
DRON:00069663	CHEBI:9661
DRON:00069663	DRON:00020263
DRON:00069664	CHEBI:17716
DRON:00069664	CHEBI:30618
DRON:00069664	CHEBI:32234
DRON:00069664	CHEBI:62968
DRON:00069664	CHEBI:9661
DRON:00069664	DRON:00020263
DRON:00069664	DRON:00723226
DRON:00069665	CHEBI:15377
DRON:00069665	CHEBI:26710
DRON:00069708	CHEBI:17716
DRON:00069708	CHEBI:53248
DRON:00069708	CHEBI:62968
DRON:00069708	DRON:00723223
DRON:00069709	CHEBI:17716
DRON:00069709	CHEBI:53248
DRON:00069709	CHEBI:62968
DRON:00069709	DRON:00723223
DRON:00069710	CHEBI:17716
DRON:00069710	CHEBI:32178
DRON:00069710	CHEBI:32234
DRON:00069710	CHEBI:5291
DRON:00069710	DRON:00020263
DRON:00069711	CHEBI:17716
DRON:00069711	CHEBI:32178
DRON:00069711	CHEBI:32234
DRON:00069711	CHEBI:5291
DRON:00069711	DRON:00020263
DRON:00069711	DRON:00723226
DRON:00069712	CHEBI:17716
DRON:00069712	CHEBI:32178
DRON:00069712	CHEBI:32234
DRON:00069712	CHEBI:50819
DRON:00069712	CHEBI:5291
DRON:00069712	DRON:00020263
DRON:00069712	DRON:00723226
DRON:00069725	CHEBI:17716
DRON:00069725	CHEBI:17824
DRON:00069725	CHEBI:30563
DRON:00069725	CHEBI:32234
DRON:00069725	CHEBI:50819
DRON:00069725	CHEBI:5291
DRON:00069725	CHEBI:53248
DRON:00069725	DRON:00020263
DRON:00069725	DRON:00723226
DRON:00069727	CHEBI:15409
DRON:00069727	CHEBI:17151
DRON:00069727	CHEBI:17754
DRON:00069727	CHEBI:29377
DRON:00069727	CHEBI:30187
DRON:00069727	CHEBI:30618
DRON:00069727	CHEBI:30911
DRON:00069727	CHEBI:31794
DRON:00069727	CHEBI:32139
DRON:00069727	CHEBI:32159
DRON:00069727	CHEBI:32234
DRON:00069727	CHEBI:53426
DRON:00069727	CHEBI:53700
DRON:00069727	DRON:00012174
DRON:00069727	DRON:00018261
DRON:00069727	DRON:00018290
DRON:00069727	DRON:00019232
DRON:00069727	DRON:00019727
DRON:00069727	DRON:00020263
DRON:00069727	DRON:00723360
DRON:00069727	DRON:00723392
DRON:00069727	DRON:00723683
DRON:00069787	CHEBI:28017
DRON:00069787	CHEBI:53700
DRON:00069800	CHEBI:17992
DRON:00069800	DRON:00016127
DRON:00069800	DRON:00723355
DRON:00069800	DRON:00723499
DRON:00069800	DRON:00767224
DRON:00069800	DRON:00827263
DRON:00069824	CHEBI:30563
DRON:00069824	CHEBI:30618
DRON:00069824	CHEBI:62968
DRON:00069836	CHEBI:53700
DRON:00069836	CHEBI:62968
DRON:00069836	CHEBI:9405
DRON:00069840	CHEBI:17987
DRON:00069840	CHEBI:34683
DRON:00069840	DRON:00018894
DRON:00069847	CHEBI:17716
DRON:00069847	CHEBI:17824
DRON:00069847	CHEBI:30563
DRON:00069847	CHEBI:53248
DRON:00069847	DRON:00020263
DRON:00069849	CHEBI:15377
DRON:00069849	CHEBI:17754
DRON:00069849	CHEBI:32234
DRON:00069849	CHEBI:46793
DRON:00069849	CHEBI:48408
DRON:00069849	CHEBI:5291
DRON:00069849	CHEBI:86567
DRON:00069849	DRON:00017826
DRON:00069849	DRON:00723496
DRON:00069852	CHEBI:16236
DRON:00069861	CHEBI:30618
DRON:00069861	CHEBI:32234
DRON:00069861	CHEBI:9661
DRON:00069861	DRON:00020263
DRON:00069862	CHEBI:16236
DRON:00069863	CHEBI:30563
DRON:00069863	CHEBI:30618
DRON:00069863	CHEBI:32234
DRON:00069863	CHEBI:46793
DRON:00069863	CHEBI:50819
DRON:00069863	CHEBI:62968
DRON:00069863	DRON:00723226
DRON:00069870	CHEBI:30563
DRON:00069870	CHEBI:30618
DRON:00069870	CHEBI:32234
DRON:00069870	CHEBI:62968
DRON:00069870	DRON:00017826
DRON:00069870	DRON:00723505
DRON:00069870	DRON:00845278
DRON:00069873	CHEBI:29864
DRON:00069882	DRON:00019232
DRON:00069882	DRON:00724165
DRON:00069889	CHEBI:17716
DRON:00069889	CHEBI:32234
DRON:00069889	CHEBI:37586
DRON:00069889	CHEBI:5291
DRON:00069889	CHEBI:53700
DRON:00069889	CHEBI:87192
DRON:00069889	DRON:00723499
DRON:00069889	DRON:00723503
DRON:00069893	CHEBI:17883
DRON:00069893	CHEBI:29864
DRON:00069893	CHEBI:32145
DRON:00069896	CHEBI:17716
DRON:00069896	CHEBI:53248
DRON:00069896	DRON:00724165
DRON:00069906	CHEBI:28017
DRON:00069906	CHEBI:29864
DRON:00069917	DRON:00723689
DRON:00069918	CHEBI:15377
DRON:00069918	CHEBI:29864
DRON:00069918	CHEBI:34683
DRON:00069918	CHEBI:37585
DRON:00069952	CHEBI:16997
DRON:00069952	CHEBI:30618
DRON:00069952	CHEBI:32234
DRON:00069952	CHEBI:62968
DRON:00069952	DRON:00020263
DRON:00069952	DRON:00847532
DRON:00069955	CHEBI:30563
DRON:00069955	CHEBI:32178
DRON:00069955	CHEBI:32234
DRON:00069955	CHEBI:46793
DRON:00069955	CHEBI:5291
DRON:00069955	CHEBI:53248
DRON:00069955	CHEBI:53700
DRON:00069955	CHEBI:87192
DRON:00069955	DRON:00723499
DRON:00069955	DRON:00723500
DRON:00069955	DRON:00723503
DRON:00070012	CHEBI:50819
DRON:00070013	CHEBI:50819
DRON:00070027	CHEBI:50819
DRON:00070027	CHEBI:53248
DRON:00070027	CHEBI:62968
DRON:00070027	DRON:00723226
DRON:00070027	DRON:00723286
DRON:00070037	CHEBI:17716
DRON:00070037	CHEBI:61000
DRON:00070037	DRON:00020263
DRON:00070037	DRON:00723503
DRON:00070038	CHEBI:17716
DRON:00070038	CHEBI:32234
DRON:00070038	CHEBI:5291
DRON:00070038	CHEBI:53248
DRON:00070038	CHEBI:53700
DRON:00070038	CHEBI:61000
DRON:00070038	DRON:00018745
DRON:00070038	DRON:00020263
DRON:00070038	DRON:00723503
DRON:00070038	DRON:00723504
DRON:00070073	CHEBI:30187
DRON:00070073	CHEBI:53700
DRON:00070104	CHEBI:15377
DRON:00070104	CHEBI:26710
DRON:00070126	CHEBI:132106
DRON:00070126	CHEBI:16134
DRON:00070126	CHEBI:16997
DRON:00070126	CHEBI:17987
DRON:00070126	CHEBI:31835
DRON:00070126	CHEBI:32035
DRON:00070126	CHEBI:32063
DRON:00070126	CHEBI:32234
DRON:00070126	CHEBI:46726
DRON:00070126	CHEBI:50821
DRON:00070126	CHEBI:5291
DRON:00070126	CHEBI:87192
DRON:00070126	CHEBI:88542
DRON:00070126	CHEBI:90184
DRON:00070126	DRON:00723223
DRON:00070126	DRON:00723499
DRON:00070126	DRON:00723503
DRON:00070136	CHEBI:15377
DRON:00070136	CHEBI:15882
DRON:00070136	CHEBI:17231
DRON:00070136	CHEBI:17754
DRON:00070136	CHEBI:17883
DRON:00070136	CHEBI:27363
DRON:00070136	CHEBI:32145
DRON:00070136	CHEBI:34683
DRON:00070136	DRON:00011451
DRON:00070136	DRON:00723204
DRON:00070151	CHEBI:15428
DRON:00070151	CHEBI:26710
DRON:00070151	CHEBI:29864
DRON:00070155	CHEBI:15377
DRON:00070155	CHEBI:26710
DRON:00070196	CHEBI:15377
DRON:00070196	CHEBI:17754
DRON:00070196	CHEBI:30769
DRON:00070196	CHEBI:32145
DRON:00070196	CHEBI:34683
DRON:00070196	CHEBI:53775
DRON:00070196	DRON:00014162
DRON:00070196	DRON:00016938
