curie	ndc	branded_drug
DRON:00090763	61360520305	DRON:00068955
DRON:00090764	99207002515	DRON:00068955
DRON:00090765	99207002560	DRON:00068955
DRON:00090766	00003010120	DRON:00068956
DRON:00090767	00003010130	DRON:00068956
DRON:00090768	00003010150	DRON:00068956
DRON:00090769	00003010151	DRON:00068956
DRON:00090770	00003010160	DRON:00068956
DRON:00090771	55961001050	DRON:00068956
DRON:00090772	55961001051	DRON:00068956
DRON:00090773	55961001060	DRON:00068956
DRON:00090774	00003010920	DRON:00068957
DRON:00090775	00003010930	DRON:00068957
DRON:00090776	00003010945	DRON:00068957
DRON:00090777	00003010951	DRON:00068957
DRON:00090778	00003010955	DRON:00068957
DRON:00090779	00003010960	DRON:00068957
DRON:00090780	00003010970	DRON:00068957
DRON:00090781	17101010901	DRON:00068957
DRON:00090782	17101010905	DRON:00068957
DRON:00090783	17101010906	DRON:00068957
DRON:00090784	55961010951	DRON:00068957
DRON:00090785	55961010955	DRON:00068957
DRON:00090786	55961010960	DRON:00068957
DRON:00090787	55961010970	DRON:00068957
DRON:00090788	58864061130	DRON:00068957
DRON:00090789	66116026230	DRON:00068957
DRON:00090790	68115002908	DRON:00068957
DRON:00090791	68115002921	DRON:00068957
DRON:00090792	68115002942	DRON:00068957
DRON:00090793	00003173730	DRON:00068958
DRON:00090794	00003173740	DRON:00068958
DRON:00090795	00003173745	DRON:00068958
DRON:00090796	17101173702	DRON:00068958
DRON:00090797	17101173703	DRON:00068958
DRON:00090798	17101173704	DRON:00068958
DRON:00090799	17101173705	DRON:00068958
DRON:00090800	55961073730	DRON:00068958
DRON:00090801	55961073740	DRON:00068958
DRON:00090802	55961073745	DRON:00068958
DRON:00090803	00003173815	DRON:00068959
DRON:00090804	00003173830	DRON:00068959
DRON:00090805	00003173840	DRON:00068959
DRON:00090806	00003173845	DRON:00068959
DRON:00090807	17101173802	DRON:00068959
DRON:00090808	17101173803	DRON:00068959
DRON:00090809	17101173804	DRON:00068959
DRON:00090810	17101173805	DRON:00068959
DRON:00090811	55961073815	DRON:00068959
DRON:00090812	55961073830	DRON:00068959
DRON:00090813	55961073840	DRON:00068959
DRON:00090814	55961073845	DRON:00068959
DRON:00090842	00072810012	DRON:00068960
DRON:00090843	00072810015	DRON:00068960
DRON:00090844	00072810045	DRON:00068960
DRON:00090845	00072810060	DRON:00068960
DRON:00090846	00247069415	DRON:00068960
DRON:00090847	00247069445	DRON:00068960
DRON:00090848	54569079100	DRON:00068960
DRON:00090849	54569109800	DRON:00068960
DRON:00090850	54868222901	DRON:00068960
DRON:00090851	54868222902	DRON:00068960
DRON:00090852	54868222903	DRON:00068960
DRON:00090853	55045213305	DRON:00068960
DRON:00090854	58016310201	DRON:00068960
DRON:00090855	58016313245	DRON:00068960
DRON:00090856	68115090515	DRON:00068960
DRON:00090857	00072780015	DRON:00068961
DRON:00090858	00072780045	DRON:00068961
