clinical_drug	ingredient	strength	unit
DRON:00034703	CHEBI:27902	250.0	UO:0000022
DRON:00034704	CHEBI:59040	408.0	UO:0000022
DRON:00034705	CHEBI:50694	100.0	UO:0000022
DRON:00034706	CHEBI:27902	250.0	UO:0000022
DRON:00034707	CHEBI:131715	150.0	UO:0000022
DRON:00034710	CHEBI:32162	2000.0	UO:0000022
DRON:00034711	CHEBI:4877	250.0	UO:0000022
DRON:00034711	CHEBI:6030	100.0	UO:0000022
DRON:00034714	CHEBI:4325	50.0	UO:0000022
DRON:00034717	CHEBI:6923	250.0	UO:0000022
DRON:00034718	CHEBI:10110	250.0	UO:0000022
DRON:00034720	CHEBI:4325	100.0	UO:0000022
DRON:00034720	CHEBI:8673	12.5	UO:0000022
DRON:00034721	CHEBI:15854	125.0	UO:0000022
DRON:00034722	DRON:00013973	500.0	UO:0000022
DRON:00034723	DRON:00013973	250.0	UO:0000022
DRON:00034724	CHEBI:6704	100.0	UO:0000022
DRON:00034725	CHEBI:16664	400.0	UO:0000022
DRON:00034726	DRON:00012637	30.0	UO:0000022
DRON:00034728	CHEBI:617099	20.0	UO:0000022
DRON:00034730	CHEBI:3077	0.5	UO:0000022
DRON:00034734	CHEBI:8378	2.5	UO:0000022
DRON:00034735	CHEBI:8378	5.0	UO:0000022
DRON:00034736	CHEBI:8378	5.0	UO:0000022
DRON:00034737	CHEBI:8378	2.5	UO:0000022
DRON:00034738	CHEBI:9249	5.0	UO:0000022
DRON:00034739	CHEBI:31446	100.0	UO:0000022
DRON:00034744	CHEBI:32260	120.0	UO:0000022
DRON:00034748	CHEBI:4822	0.25	UO:0000022
DRON:00034749	CHEBI:4822	0.5	UO:0000022
DRON:00034752	CHEBI:8347	200.0	UO:0000022
DRON:00034754	CHEBI:4903	0.03	UO:0000022
DRON:00034754	CHEBI:50785	2.0	UO:0000022
DRON:00034755	CHEBI:6443	0.03	UO:0000022
DRON:00034756	CHEBI:6443	0.0375	UO:0000022
DRON:00034759	CHEBI:3385	2.0	UO:0000022
DRON:00034763	CHEBI:10093	5.0	UO:0000022
DRON:00034763	CHEBI:27436	5.0	UO:0000022
DRON:00034763	CHEBI:7953	10.0	UO:0000022
DRON:00034764	CHEBI:34853	125.0	UO:0000022
DRON:00034765	CHEBI:82557	250.0	UO:0000022
DRON:00034768	CHEBI:46345	250.0	UO:0000022
DRON:00034769	CHEBI:44185	2.5	UO:0000022
DRON:00034770	CHEBI:44185	10.0	UO:0000022
DRON:00034773	CHEBI:50225	125.0	UO:0000022
DRON:00034777	CHEBI:31607	305.0	UO:0000022
DRON:00034778	CHEBI:75832	304.0	UO:0000022
DRON:00034779	CHEBI:31607	290.0	UO:0000022
DRON:00034781	CHEBI:27470	0.5	UO:0000022
DRON:00034781	CHEBI:75832	150.0	UO:0000022
DRON:00034782	CHEBI:27470	0.35	UO:0000022
DRON:00034782	CHEBI:31607	330.0	UO:0000022
DRON:00034783	CHEBI:27470	0.35	UO:0000022
DRON:00034783	CHEBI:75832	325.0	UO:0000022
DRON:00034784	CHEBI:27470	0.35	UO:0000022
DRON:00034784	CHEBI:31607	308.0	UO:0000022
DRON:00034785	CHEBI:27470	0.4	UO:0000022
DRON:00034785	CHEBI:31607	305.0	UO:0000022
DRON:00034786	CHEBI:27470	0.35	UO:0000022
DRON:00034786	CHEBI:31607	305.0	UO:0000022
DRON:00034787	CHEBI:27470	0.35	UO:0000022
